document_name,article_number,livre,titre,chapitre,section,sous_section,pages,content,source_relative_path
Recueil des textes législatifs et réglementaires de BAM _ VF,13,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section première. – Missions fondamentales,,22,"Dans l’exercice de ses missions, la Banque, en la personne du Wali de Bank Al-Maghrib, du directeur général et des membres de son conseil, ne peut solliciter ou accepter d’instructions du Gouvernement ou de tiers.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,14,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section 2. – Autres missions,,22,La Banque contribue à la mise en place et à la mise en œuvre de la stratégie nationale d’inclusion financière et à la promotion d’un système financier inclusif.,pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,15,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section 2. – Autres missions,,22-23,"La Banque est le conseiller financier du Gouvernement. Celui-ci la consulte, notamment, sur toutes questions susceptibles d’affecter l’exercice de ses prérogatives et fonctions telles que celles-ci sont définies par la présente loi. Elle soumet au Gouvernement tous avis et toutes suggestions relatifs aux mêmes questions. 23­ La Banque est l’agent du Trésor pour ses opérations bancaires tant au Maroc qu’à l’étranger. La Banque est chargée, dans les conditions fixées par voie réglementaire, des opérations d’émission, de rachat, de conversion et de remboursement des emprunts publics et des effets publics, et de manière générale, du service financier des emprunts émis par l’Etat. A la demande du Gouvernement, elle peut participer aux négociations de prêts et emprunts extérieurs conclus pour le compte de l’Etat.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,17,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section 2. – Autres missions,,23,"Les prestations rendues par l’Etat à la Banque sont rémunérées sur la base des charges supportées par lui au titre desdites prestations dans les conditions et selon les modalités fixées par convention conclue entre l’Etat et la Banque. La Banque perçoit, au titre des opérations bancaires et des services financiers effectués pour le compte de l’Etat, une rémunération pour couverture des charges supportées par la Banque au titre desdits opérations et services. Les modalités d’application des dispositions de l’alinéa précédent sont fixées par convention conclue entre l’Etat et la Banque.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,18,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section 2. – Autres missions,,23,La Banque peut à la demande du Gouvernement le représenter auprès des institutions financières et monétaires internationales créées en vue de promouvoir la coopération internationale dans les domaines monétaire et financier.,pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,19,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre II Missions,Section 2. – Autres missions,,23,"La Banque participe, à la demande du Gouvernement, à la négociation des accords financiers internationaux et peut, le cas échéant, être chargée de leur exécution. L’exécution des accords visés à l’alinéa ci-dessus s’effectue pour le compte de l’Etat qui en assume les risques et les charges.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,20,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre III Opérations de la Banque,,,23-24,"La Banque peut : - ouvrir et tenir des comptes à vue, des comptes-titres et tous comptes de dépôt au nom : • du Trésor ; • des établissements de crédit agréés en qualité de banques ; • des banques centrales étrangères ; • des organismes financiers internationaux et régionaux ; • des organismes internationaux et régionaux ; • de tout autre organisme ou personne physique ou morale, après approbation du Wali de Bank Al-Maghrib ; - procéder à toutes opérations d’encaissement de valeurs ; - effectuer toutes opérations de change, tant au comptant qu’à terme ; 24­ - faire toutes opérations bancaires d’ordre et pour le compte de tiers, pour autant que la couverture desdites opérations soit fournie ou assurée à la satisfaction de la Banque ; - obtenir et consentir des crédits, prêter ou emprunter à des banques étrangères ou institutions monétaires et financières étrangères ou internationales. A l’occasion de ces opérations, la Banque demande ou octroie les garanties qui lui paraissent appropriées.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,21,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre III Opérations de la Banque,,,24,"La Banque peut procéder, tant pour son propre compte que pour le compte des Etats étrangers et des banques centrales étrangères dûment habilitées à cet effet, à l’impression de billets de banque et à la frappe de pièces de monnaie. La Banque peut également procéder pour le compte de l’Etat, des Etats étrangers, ou pour tout autre organisme marocain ou étranger habilité, conformément à la législation et à la réglementation en vigueur, à la fabrication de documents sécurisés ou à sécuriser.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,22,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre III Opérations de la Banque,,,24,"La Banque peut acquérir les propriétés immobilières nécessaires à ses services ou à son personnel. Elle peut vendre et échanger lesdites propriétés selon les besoins de son exploitation. Elle peut aussi accepter, à titre de nantissement, d’hypothèque ou de dation en paiement, des immeubles ou d’autres biens pour couvrir ses créances en souffrance. Elle peut, aux mêmes fins, acquérir les immeubles et tous autres biens qui lui sont adjugés sur vente forcée. Sous réserve des dispositions du premier alinéa du présent article, les immeubles et les biens ainsi acquis doivent être aliénés.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,23,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre III Opérations de la Banque,,,24,"La Banque peut, dans un but d’intérêt général, prendre des participations dans des organismes financiers publics, nationaux et internationaux, autres que ceux soumis à sa supervision.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,24,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre III Opérations de la Banque,,,24,"La Banque ne peut effectuer des opérations autres que celles qui sont autorisées en vertu des articles 20 à 23 ci-dessus, sauf si les opérations en cause : a) sont nécessitées par l’exécution de missions ou la liquidation d’opérations prévues par la présente loi ; b) sont entreprises au bénéfice exclusif de son personnel.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,24bis,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,,,24-25,Les organes de la Banque se composent de l’organe d’administration et de l’organe de direction. 25­,pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,26,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section première. - Organe d’administration : le conseil,,26-27,"Le conseil est composé comme suit : - le Wali de Bank Al-Maghrib, président ; - le directeur général de la Banque ; - le directeur du Trésor et des finances extérieures au sein du ministère chargé des finances. Celui-ci ne prend pas part aux votes de décisions relatives à la politique monétaire ; - six membres désignés par le Chef du gouvernement, dont trois sur proposition du Wali de Bank Al-Maghrib, parmi les personnes connues pour leur intégrité et compétence en matière monétaire, financière ou économique, n’exerçant aucun mandat électif public et n’occupant aucun poste de responsabilité dans des entreprises publiques ou privées ou dans l’administration publique. Les trois autres sont proposés par l’autorité gouvernementale chargée des finances et doivent remplir les mêmes conditions. Ces membres sont nommés pour une période de six ans non-renouvelable. Leurs sièges sont renouvelables par tiers tous les deux ans. Les sièges des membres faisant l’objet du premier et du deuxième renouvellement sont tirés au sort. Le tirage au sort du premier renouvellement sera effectué à la fin de la deuxième année suivant la première nomination. Le tirage au sort en vue du deuxième renouvellement aura lieu à la fin de la quatrième année suivant la première nomination. Toutefois, ne sont pas concernés par ce tirage au sort les membres nommés lors du premier renouvellement. 27­ Il ne peut être mis fin, avant terme, aux fonctions des membres visés au 4e tiret du 1er alinéa de cet article que s’ils deviennent incapables d’exercer celles-ci ou commettent une faute grave. Dans ces cas, le mandat du membre concerné prend fin sur demande motivée du conseil statuant à la majorité des membres autres que l’intéressé. Les modalités d’application de cet alinéa sont fixées par le Code de déontologie applicable aux membres du conseil. Le membre nommé en remplacement d’un membre démissionnaire, révoqué ou décédé achève le mandat de celui qu’il remplace.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,27,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section première. - Organe d’administration : le conseil,,27,"Le conseil se réunit au moins une fois par trimestre à l’initiative de son président et chaque fois que trois au moins de ses membres le demandent. Le calendrier annuel des réunions ordinaires du conseil est rendu public. Le conseil ne peut délibérer que si la majorité absolue de ses membres sont présents. Les décisions du conseil sont prises à la majorité des voix des membres présents. En cas de partage égal des voix, la voix du président de la séance est prépondérante. Les délibérations du conseil sont constatées par des procès-verbaux, signés par le président de la séance et par au moins un membre du conseil. En cas d’empêchement du président de la séance, le procès-verbal est signé par au moins deux des membres ayant assisté à la séance. Les copies et extraits de procès-verbaux des délibérations sont valablement certifiés soit par le Wali de Bank Al-Maghrib, soit par le directeur général conjointement avec un membre du conseil. Les six membres du conseil désignés par le Chef du gouvernement perçoivent une indemnité fixée par décret.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,28,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section première. - Organe d’administration : le conseil,,27,"Le conseil peut déléguer les pouvoirs qui lui sont dévolus par la présente loi, soit au Wali de Bank Al-Maghrib, soit à des comités restreints constitués parmi ses membres, en vue de l’exercice de missions particulières. Les dispositions du 4ème alinéa de l’article 27 ci-dessus sont applicables aux délibérations desdits comités. Un rapport sur les résultats des missions déléguées est remis au Conseil.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,29,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section première. - Organe d’administration : le conseil,,27,"Est institué un comité d’audit composé d’au moins deux membres nommés par le conseil parmi les six membres désignés par le Chef du gouvernement. Ce comité est chargé de donner un avis au conseil sur les questions relatives à l’information comptable, à l’audit interne et externe, au contrôle interne et à la maitrise des risques. Les modalités de fonctionnement de ce comité sont approuvées par le conseil.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,30,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section 2. – Organe de direction : le Wali de Bank Al-Maghrib,,27-29,"Le Wali de Bank Al-Maghrib est nommé dans les conditions prévues par l’article 49 de la Constitution pour une période de six ans renouvelable une seule fois. Il est choisi parmi les personnalités reconnues pour leur compétence, leur intégrité et leur impartialité. Il prête serment entre les mains de SA MAJESTE LE ROI. Sa rémunération est fixée par décret. 28­ Sous réserve des attributions dévolues par la présente loi au conseil, le Wali de Bank Al-Maghrib administre et dirige la Banque. A cet effet, il : • préside le conseil, le convoque et arrête l’ordre du jour des séances ; • tient le conseil informé périodiquement de la conduite de la politique monétaire, de la gestion des réserves de change et des autres missions et activités ainsi que des résultats de la Banque ; • prépare le projet de rapport annuel sur la situation économique, monétaire et financière du pays et sur les activités de la Banque, visé à l’article 50 de la présente loi ; • arrête, par décision, les modalités selon lesquelles sont effectuées les opérations visées à l’article 66 de la présente loi ; • agrée l’exercice de l’activité de traitement de la monnaie fiduciaire aux fins de remise en circulation et fixe, par décision, les conditions de son exercice ; • prononce toute sanction administrative ou pécuniaire à l’encontre de tout intervenant en matière de traitement de la monnaie fiduciaire qui n’aurait pas respecté les dispositions de la présente loi ou les textes pris pour son application ; • arrête les conditions de la délégation de la gestion des réserves de change ; • fixe les conditions d’ouverture et de fonctionnement des comptes à vue, des comptes-titres et de tout compte de dépôt pour toute personne physique ou morale ; • propose au conseil la nomination des directeurs de la Banque, recrute et nomme à toutes autres fonctions ; • désigne des représentants de la Banque au sein des conseils d’autres organismes lorsqu’une telle représentation est prévue ; • organise les services de la Banque et définit leurs attributions ; • établit les conditions et modes de passation et d’exécution des marchés de la Banque et les présente au conseil pour approbation ; • prépare les projets de budget annuel et des modifications apportées à celui-ci en cours d’exercice ; • procède à toutes acquisitions, aliénations ou échanges immobiliers approuvés par le conseil ; • prend toute décision à caractère général ou individuel et non dévolue au conseil conformément aux dispositions de la présente loi ; • représente la Banque à l’égard des tiers. Il intente les actions en justice, les poursuit et les défend. Il prend toutes mesures d’exécution et toutes mesures conservatoires qu’il juge utiles. A cet effet et nonobstant toute législation contraire, le recours à un avocat n’est pas obligatoire dans toutes les étapes de l’action en justice ; • peut déléguer ses pouvoirs en vue d’actes déterminés ; • arrête la composition, les attributions et les modalités de fonctionnement du comité de direction, du comité monétaire et financier et du comité de stabilité financière ; • présente le rapport de gestion et les états de synthèse à l’approbation du conseil ; 29­ • fixe les conditions de délégation de la gestion des Fonds relevant des régimes de retraite et de prévoyance sociale du personnel de la Banque. En cas de nécessité impérieuse et imprévisible rendant impossible la convocation et la réunion du conseil, le Wali de Bank Al-Maghrib est habilité à prendre toutes mesures relevant des attributions du conseil. Les décisions prises en vertu de cette habilitation sont soumises aux délibérations de la prochaine réunion du conseil.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,32,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section 2. – Organe de direction : le Wali de Bank Al-Maghrib,,29,"Le Wali de Bank Al-Maghrib exécute les décisions du conseil, prend toutes les mesures nécessaires à cette fin et en assure le contrôle.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,33,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section 2. – Organe de direction : le Wali de Bank Al-Maghrib,,29,"Le Wali de Bank Al-Maghrib est assisté par un directeur général conformément aux missions qui lui sont dévolues et sous son autorité. Le directeur général exerce toutes les missions qui lui sont dévolues par le Wali de Bank Al-Maghrib. Le directeur général remplace le Wali de Bank Al-Maghrib en cas d’absence ou d’empêchement. En cas de vacance du poste de Wali de Bank Al-Maghrib, le directeur général expédie les affaires courantes en attendant la nomination d’un nouveau Wali de Bank Al-Maghrib. En cas d’absence ou d’empêchement prolongé d’une durée de six (6) mois, du Wali de Bank Al-Maghrib, il sera procédé, durant cette période, à la désignation, par décret, d’un membre du conseil, choisi par ce dernier parmi ses membres nommés par le Chef du gouvernement, pour exercer les attributions du Wali de Bank Al-Maghrib. Pour la désignation dudit membre, le conseil se réunit sous la présidence et sur convocation du directeur général.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,34,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section 2. – Organe de direction : le Wali de Bank Al-Maghrib,,29,"Le directeur général exerce ses missions sous l’autorité du Wali de Bank Al-Maghrib. Il est nommé par décret pris sur proposition du Wali de Bank Al-Maghrib, le conseil entendu.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,35,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section 2. – Organe de direction : le Wali de Bank Al-Maghrib,,29,Le comité de direction assiste le Wali de Bank Al-Maghrib dans la direction des affaires de la Banque.,pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,36,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section 2. – Organe de direction : le Wali de Bank Al-Maghrib,,29,Le comité monétaire et financier et le comité de stabilité financière assistent le Wali de Bank Al-Maghrib dans les domaines directement liés aux missions fondamentales de la Banque telles que définies par la présente loi.,pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,37,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section 3. – Signature des actes,,29-30,"Tous les actes qui engagent la Banque, autres que ceux de gestion courante, et toutes les délégations de pouvoirs et mandats sont signés par le Wali de Bank Al-Maghrib ou par le directeur général agissant pour celui-ci, sous réserve des mandats spéciaux donnés par le Wali. 30­ Les actes de gestion courante de la Banque sont revêtus de la signature d’une ou de deux personnes autorisées à cet effet par le Wali de Bank Al-Maghrib.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,38,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section 4. – Dispositions diverses,,30,"Le Wali de Bank Al-Maghrib, le directeur général et les directeurs de la Banque, ainsi que les membres de son conseil, ne contractent aucune obligation personnelle à raison des engagements de la Banque. Ils ne sont responsables que de l’exécution de leurs missions. Le Wali de Bank Al-Maghrib, le directeur général et les directeurs de la Banque ne peuvent être membres des organes d’administration ou de contrôle d’aucune société commerciale, ou exercer une fonction quelconque dans une entreprise commerciale, à l’exception : - de sociétés gérées par l’Etat ou placées sous son contrôle, ou dans lesquelles l’Etat détient directement ou indirectement une participation, autres que les établissements de crédit, et dont l’objet social est lié à une mission d’intérêt général ; - des organismes internationaux ; - des organismes à but non lucratif. Ils ne peuvent représenter des tiers vis-à-vis de la Banque ni s’engager vis-à- vis d’elle solidairement avec des tiers. Les fonctions de Wali de Bank Al-Maghrib et de directeur général et de directeur de la Banque sont incompatibles avec l’exercice de fonctions gouvernementales. Le Wali de Bank Al-Maghrib et le directeur général ne peuvent exercer de mandat électif.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,39,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section 4. – Dispositions diverses,,30,"Toute personne qui, à titre quelconque, participe à l’administration, à la direction, au contrôle, à l’audit et à la gestion de la Banque est tenue au secret professionnel.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,40,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre IV,Section 4. – Dispositions diverses,,30-31,"Il est interdit au Wali de Bank Al-Maghrib, au directeur général, au commissaire du gouvernement et aux six membres du conseil nommés par le Chef du gouvernement, ainsi qu’au personnel de la Banque de se trouver dans une situation de conflit d’intérêts. Le conseil statue sur les mesures correctives à entreprendre vis-à-vis de ses membres. Le Wali de Bank Al-Maghrib statue sur les mesures correctives à entreprendre vis-à-vis du personnel de la Banque. 31­",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,41,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre V Contrôle de la Banque,Section première. – Contrôle du commissaire du gouvernement,,31,"Le commissaire du gouvernement contrôle pour le compte de l’Etat et au nom du ministre chargé des finances, la régularité des opérations financières de la Banque au regard des dispositions légales et réglementaires qui leur sont applicables. Il assiste, avec voix consultative, aux séances du conseil et fait toutes propositions qu’il estime utiles. Il reçoit communication des procès-verbaux des séances et délibérations du conseil et peut exiger communication de tous documents comptables.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
Recueil des textes législatifs et réglementaires de BAM _ VF,42,,"TITRE PREMIER STATUT JURIDIQUE, MISSIONS, GOUVERNANCE ET CONTROLE",Chapitre V Contrôle de la Banque,Section première. – Contrôle du commissaire du gouvernement,,31,"Sur proposition du ministre chargé des finances, le commissaire du gouvernement est nommé par décret du Chef du gouvernement, parmi les hauts fonctionnaires du ministère chargé des finances. Il peut se faire assister par un commissaire de gouvernement adjoint nommé par arrêté du ministre chargé des finances. Le commissaire du gouvernement adresse chaque année un rapport sur les missions qu’il a accomplies au ministre chargé des finances.",pdfs/Recueil des textes législatifs et réglementaires de BAM _ VF.pdf
