article_id,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10
11,Quels types de décisions sont revêtus de la formule exécutoire selon l'article 11 ?,Par quel organe sont les arrêts de débet rendus définitifs mentionnés dans l'article 11 ?,Quel est le ministère concerné par la déclaration de débiteurs des comptables publics dans l'article 11 ?,Quels documents sont nécessaires pour que les décisions du ministre chargé des finances soient exécutoires selon l'article 11 ?,Comment peut-on modifier le contenu de l'article 11 mentionné dans la note de bas de page ?,Quel est l'effet juridique principal d'un arrêt de débet revêtu de la formule exécutoire selon l'article 11 ?,À partir de quel moment les arrêts de débet prononcés par la Cour des comptes sont-ils exécutoires ?,Quel est le rôle du ministre chargé des finances dans le processus d'exécution mentionné dans l'article 11 ?,Quels sont les conséquences légales d'une décision non exécutoire selon l'article 11 ?,Comment peut-on interpréter la phrase 'modifié par l\'article 25 de la loi de finances n° 26-04 pour l\'année budgétaire 2005' dans le contexte de l'article 11 ?
12,Quelles créances sont concernées par l'exécution immédiate des ordres de recettes selon cet article ?,Qui peut revêtir la formule exécutoire pour les ordres de recettes mentionnés dans cet article ?,Dans quel cas spécifique peuvent les comptables assignataires revêtir la formule exécutoire ?,Quelles dispositions particulières existent-elles qui ne sont pas concernées par l'exécution immédiate des ordres de recettes ?,Par quelle loi et date a été modifié cet article ?,Quels types d'organismes peuvent être concernés par les ordres de recettes mentionnés dans cet article ?,Quelle est la nature des traitements et salaires mentionnés dans l'article qui nécessitent un reversement sans ordonnancement préalable ?,Quel est le nom complet du dahir qui a promulgué la loi de finances modifiant cet article ?,Dans quel numéro de bulletin officiel et date a été publiée la loi de finances modifiant cet article ?,Quels articles spécifiques sont exclus des dispositions générales mentionnées dans l'article 12 ?
13,Quelle est la période d'exigibilité des impôts et taxes établis par voie de rôles selon l'article 13 ?,Après combien de mois suivant leur mise en recouvrement les impôts et taxes sont-ils exigibles ?,Quel type d'impôts et taxes sont concernés par cette disposition légale ?,Combien de mois après la mise en recouvrement ces impôts et taxes deviennent-ils exigibles ?,Quelle est la date limite pour l'exigibilité des impôts et taxes établis par voie de rôles selon l'article 13 ?,Le présent article concerne-t-il uniquement les impôts et taxes spécifiques ou tous ceux établis par voie de rôles ?,Quelle est la conséquence légale si un impôt ou une taxe n'est pas exigible à terme selon l'article 13 ?,Comment peut-on interpréter le délai d'exigibilité mentionné dans l'article 13 ?,Quel est l'effet juridique de l'expiration du deuxième mois suivant celui de la mise en recouvrement pour les impôts et taxes établis par voie de rôles ?,Dans quel contexte légal s'inscrit cette disposition concernant l'exigibilité des impôts et taxes selon l'article 13 ?
14,Quelle est la période après laquelle les impôts et taxes retenus à la source deviennent exigibles ?,Après combien de mois l'impôt ou taxe est-il exigible selon cet article ?,Dans quel mois précis sont-ils exigibles en fonction des paiements assujettis ?,Quelle condition doit être remplie pour que les impôts et taxes soient considérés comme exigibles ?,À partir de quelle date l'impôt ou la taxe est-il réellement dû selon cet article ?,Sur quels types de paiements s'applique cette règle d'exigibilité ?,Quelle est la conséquence juridique si les impôts et taxes ne sont pas payés à l'expiration du mois prévu ?,Peut-on dire que cet article traite des dispositions communes ou spécifiques ?,Dans quel chapitre de la loi se trouve ce texte ?,Quelle est la section qui contient cette disposition concernant l'exigibilité à terme ?
15,Quels types d'impôts et taxes sont mentionnés comme payables sur déclaration par versement spontané?,"Selon l'article, quelles sont les principales catégories de droits et taxes qui sont exigibles dans ce contexte?",Lesquels des impôts locaux sont spécifiquement mentionnés comme étant exigibles selon cet article?,"Quelles sont les conditions d'exigibilité pour ces impôts et taxes, selon l'article?",Cet article fait-il référence à des textes ou des conventions spécifiques pour fixer les conditions d'exigibilité?,Quels sont les groupements mentionnés comme recevant des créances locales en vertu de cet article?,Lesquels des impôts et taxes locaux sont inclus dans la liste des créances des collectivités locales selon l'article?,Quelle est la nature générale des créances des collectivités locales mentionnées dans l'article?,"Cet article concerne-t-il uniquement les impôts et taxes, ou inclut-il d'autres types de créances?",Dans quel chapitre du document se trouve cet article?
16,Quel est le délai d'exigibilité pour la plupart des créances publiques selon l'article 16 ?,Quelles dispositions spécifiques sont-elles mentionnées concernant les amendes et condamnations pécuniaires dans cet article ?,Peut-on recourir contre une décision de jugement qui rend compte d'amendes et de condamnations pécuniaires selon l'article 16 ?,Quel est le délai d'exigibilité pour les amendes et condamnations pécuniaires liées à des décisions contradictoires mentionnées dans cet article ?,Qui fixe les conditions et modalités du recouvrement des dépens et frais de justice selon l'article 16 ?,"Quel est le délai d'exigibilité pour les amendes et condamnations pécuniaires, dépens et frais de justice prononcés par les juridictions du Royaume ?",Comment peut-on interpréter la phrase 'ne pouvant faire l'objet d'aucune voie de recours ordinaire' dans le contexte de cet article ?,"Quelles sont les exceptions mentionnées pour l'exigibilité immédiate des amendes et condamnations pécuniaires, dépens et frais de justice ?","Quel est le statut juridique des créances publiques visées aux articles 13, 14 et 15 mentionnés dans cet article ?",Lequel d'entre les ministres est responsable de la fixation des conditions et modalités du recouvrement des dépens et frais de justice ?
17,Qu'arrive-t-il lorsque l'échéance du terme coïncide avec un jour férié ou chômé selon l'article?,Comment est reportée l'échéance du terme dans ce cas spécifique?,Quel type de délais sont mentionnés dans le présent code selon l'article?,Sur quels types de jours peut l'échéance du terme être reportée?,"Si un délai tombe sur un jour férié, quel est le premier jour ouvrable qui en devient l'échéance?",Quelle est la nature des délais mentionnés dans ce code selon l'article?,Dans quelle situation l'échéance du terme peut-elle être reportée?,Comment définirait-on un délai franc selon cette disposition légale?,Quels sont les seuls types de jours sur lesquels l'échéance du terme peut être reportée?,Que se passe-t-il si le jour ouvrable suivant est également un jour férié?
18,Quels articles sont-ils mentionnés comme faisant exception à la règle de l'exigibilité immédiate selon cet article ?,Quel type de produits émis est concerné par cette disposition légale ?,Dans quel cas ces produits ne seraient-ils pas immédiatement exigibles ?,Identifiez les articles spécifiques qui pourraient permettre une dérogation à l'exigibilité immédiate mentionnée ici.,Quelle est la nature des rôles et états de produits émis dans le contexte de cette disposition légale ?,Citez deux articles cités comme faisant exception à l'exigibilité immédiate selon cet article.,Quel est le but principal de l'exigibilité immédiate selon ce texte ?,Dans quelle section de la disposition légale se trouve la mention des exceptions à l'exigibilité immédiate ?,Identifiez les articles spécifiques qui sont cités comme faisant exception à l'exigibilité immédiate dans cette disposition.,Quels types d'impôts et taxes sont concernés par cette exigibilité immédiate ?
19,Quelles conditions doivent être remplies pour que les créances deviennent immédiatement exigibles ?,Dans quelles situations spécifiques sont également immédiatement exigibles les créances selon l'article 19 ?,Combien de jours à l'avance doit le redevable informer le comptable en cas de déménagement hors du ressort du comptable ?,Quelles exceptions existent pour la taxe urbaine dans le cas d'exigibilité immédiate des créances selon l'article 19 ?,Quels changements peuvent entraîner une exigibilité immédiate des créances en vertu de l'article 19 ?,Quelle est la conséquence légale si un redevable cesse d'avoir sa résidence habituelle au Maroc ?,Quel type de transaction peut entraîner l'exigibilité immédiate des créances selon l'article 19 ?,Dans quel cas les créances peuvent-elles rester payables à terme malgré une cessation d'activité du redevable ?,"Quels sont les effets légaux d'une fusion, scission ou transformation de la forme juridique d'une société sur le statut des créances selon l'article 19 ?",Comment est définie la notion de 'changement dans la personne du redevable' dans le contexte de cet article ?
20,Quels sont les moyens de paiement mentionnés dans l'article?,Quelle est la conséquence d'un paiement selon l'article?,Peut-on utiliser un moyen de paiement non mentionné dans l'article?,Que doit-on recevoir après avoir effectué le paiement?,Comment peut-on payer les impôts selon l'article?,Quel type de compte peut être utilisé pour le paiement des impôts?,Quelle est la nature des créances mentionnées dans l'article?,Le paiement par virement est-il mentionné comme un moyen de paiement?,Que doit-on faire en cas de paiement?,Sont-ils obligés de fournir une quittance ou une déclaration de versement?
