article_id,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10
11,Quelle est la principale mission de la police judiciaire selon l'article?,Dans quel but la police judiciaire rassemble-t-elle les preuves?,A qui doit être livrée les personnes recherchées par la police judiciaire?,Quel processus suit la police judiciaire avant d'arrêter un suspect?,Qu'est-ce que l'article entend par 'constater les infractions'?,Comment peut-on définir le rôle de la police judiciaire dans le cadre d'une enquête préliminaire?,Quelle est la limite de l'action de la police judiciaire mentionnée dans l'article?,Que doit faire la police judiciaire si une information a déjà été ouverte pour un cas spécifique?,Dans quelle situation la police judiciaire ne peut-elle pas agir selon l'article?,Quels sont les objectifs principaux de la police judiciaire selon le texte?
12,Quel officicier est au sommet de l'autorité pour l'exercice de la police judiciaire ?,Dans quel ressort peut-on trouver des avocats généraux qui exercent la police judiciaire ?,Combien de catégories d'officiers mentionnent-ils dans l'article 10 du Code de procédure pénale ?,Quelle est la fonction principale des Procureurs de la République et de leurs substituts selon cet article ?,"Parmi les officiers mentionnés, qui a le pouvoir de rechercher et constater certaines infractions par des procès-verbaux ?",Dans quel cas peuvent exercer les juges d'instruction pour l'exercice de la police judiciaire ?,Quels sont les seuls juges mentionnés dans cet article 10 du Code de procédure pénale ?,Quelle est la position relative des Procureurs de la République et des avocats généraux par rapport à l'autorité de la police judiciaire ?,"Parmi les officiers cités, qui a le pouvoir d'exercer la police judiciaire dans chaque ressort de Cour d'Appel ?",Quels sont les deux types d'agents mentionnés qui ont reçu des lois spéciales pour rechercher et constater certaines infractions ?
13,Quels officiers sont visés par les articles mentionnés dans l'article?,Quelle est la relation des officiers de police judiciaire avec le Procureur de la République?,Dans quelles situations peuvent les officiers de police judiciaire agir comme le Procureur de la République?,Que doivent faire les officiers de police judiciaire après avoir effectué leurs diligences en matière de crimes ou délits flagrants?,Quels pouvoirs ont les officiers de police judiciaire en dehors des cas mentionnés?,Peuvent-ils effectuer des actes d'instruction sans commission rogatoire?,Que signifie 'diligences' dans ce contexte?,Comment est définie la police judiciaire selon cet article?,Quelle est la conséquence si les officiers de police judiciaire effectuent des actes d'instruction sans commission rogatoire?,Dans quel livre du Code de procédure pénale se trouve cet article?
14,Quels juges peuvent faire personnellement ou requérir d'autres officiers de police judiciaire pour mener des enquêtes préliminaires?,Quel est le droit des juges cantonaux concernant l'arrestation provisoire des inculpés?,À qui les juges doivent-ils transmettre tous les renseignements et actes relatifs aux crimes et délits qu'ils connaissent dans leurs fonctions?,Quels sont les moyens par lesquels les juges peuvent faire procéder à des actes d'enquête préliminaire?,Quelle est la première action que doivent prendre les inculpés après leur arrestation provisoire selon l'article?,Dans quel cas reçoivent-ils les dénonciations des crimes et délits commis dans le lieu où ils exercent leurs fonctions?,Quels sont les actes d'enquête préliminaire que peuvent faire les juges cantonaux ou requérir auprès des officiers de police judiciaire?,À qui doivent-ils donner avis concernant les crimes et délits qu'ils connaissent dans l'exercice de leurs fonctions?,Comment doivent-ils traiter la connaissance acquise concernant les crimes et délits dans l'exercice de leurs fonctions?,"Quels sont les officiers de police judiciaire mentionnés aux articles 10, paragraphes 3 à 6, qui peuvent être requis par les juges cantonaux pour mener des enquêtes préliminaires?"
15,Quelles sont les obligations des officiers de police judiciaire mentionnées à l'article 13 ?,Quelle est la première obligation des officiers de police judiciaire envers le Procureur de la République ?,Quels types de documents doivent être transmis au Procureur de la République par les officiers de police judiciaire ?,Quelles sont les sources d'information que les officiers de police judiciaire peuvent recevoir selon l'article 13 ?,Dans quel cadre peut un officier de police judiciaire constater une infraction en vertu de l'article 13 ?,Quelle est la nature des infractions qui peuvent être constatées par les officiers de police judiciaire dans le cadre de leur compétence territoriale ?,Comment doivent les officiers de police judiciaire informer le Procureur de la République d'une infraction ?,Quels sont les documents nécessaires pour transmettre une information à l'égard d'une infraction au Procureur de la République selon l'article 13 ?,Quelles sont les infractions qui peuvent être signalées par les officiers de police judiciaire en vertu de l'article 13 ?,Dans quelle situation peut un officier de police judiciaire constater une infraction d'une nature quelconque ?
16,Quelle année a vu l'ajout de l'article 13bis au Code de procédure pénale ?,Par quelle loi a été modifié l'article 13bis en 1999 ?,Quel est le chapitre dans lequel se trouve l'article 13bis ?,Dans quel livre du Code de procédure pénale se trouve l'article 13bis ?,Quelle section concerne l'article 13bis ?,Quels sont les deux dates importantes mentionnées pour ce article ?,Quel est le nom exact du document juridique concerné par cet article ?,Quelle est la nature de l'entité qui a ajouté et modifié l'article 13bis ?,Sur quel mois se trouve l'ajout de l'article 13bis ?,Quel est le numéro de page où l'on peut trouver l'article 13bis dans son document source ?
17,Quels types d'infractions peut constater le juge d'instruction en tant qu'officier de police judiciaire ?,Dans quelles circonstances peut le juge d'instruction se saisir d'une affaire sans réquisitoire du ministère public ?,Que doit-il y avoir pour que le juge d'instruction puisse instruire sur une infraction sans l'autorisation du ministère public ?,Quel est le rôle du juge d'instruction en matière de constatation d'infraction selon cet article ?,Comment peut l'existence d'une infraction être révélée au juge d'instruction ?,Quelle est la limitation du pouvoir d'action du juge d'instruction concernant les faits non révélés par le ministère public ?,Peut-on dire que le juge d'instruction a un pouvoir d'initiative complète en matière pénale selon cet article ?,Quel est l'objet principal de cette disposition législative dans le Code de procédure pénale français ?,Comment peut-on interpréter la notion de 'crime flagrant' dans ce contexte juridique ?,Que signifie 'information régulière' pour le juge d'instruction selon cet article ?
18,Quels types d'infractions sont chargés de constater les cheikhs?,Dans quelles circonstances peuvent-ils s'introduire dans une maison d'habitation?,Qui doit signer le procès-verbal lors d'une perquisition domiciliaire?,Quel est le sort réservé à un individu surpris en délit ou crime flagrant par les cheikhs?,Comment définissent-ils la découverte de la vérité dans leur rôle judiciaire?,Quelles sont les preuves que les cheikhs doivent rassembler lors d'une constatation?,Peuvent-ils introduire des objets soustraits directement dans le séquestre sans procédure particulière?,Que doit faire un chefh qui a connaissance d'infractions durant son service?,Quelle est la limitation de leurs pouvoirs en matière de perquisition domiciliaire?,Dans quel cadre peuvent-ils arrêter et conduire devant le tribunal ou l'officier de police judiciaire?
19,Quel officier de police judiciaire est responsable de poursuivre l'affaire lorsque plusieurs en sont saisis ?,Quels types d'officiers de police judiciaire ont le droit de requérir d'autres officiers selon cet article ?,Peuvent-ils également dessaisir ces autres officiers à leur profit ?,Dans quel cas précis est-il mentionné que les officiers de police judiciaire sont toujours dessaisis ?,"Quels documents doivent être remis immédiatement au procureur de la République, son substitut ou le juge d'instruction lorsqu'ils se saisissent de l'affaire ?",Quelle est la conséquence pour les officiers de police judiciaire qui sont dessaisis ?,Quel est le premier pas que doit effectuer l'officier de police judiciaire saisi d'une affaire ?,Quels sont les deux types d'officiers mentionnés dans cet article qui peuvent se saisir de l'affaire des officiers de police judiciaire ?,Quel est le statut juridique d'un inculpé selon la terminologie utilisée dans cet article ?,"Quels sont les documents spécifiques mentionnés à être remis au procureur de la République, son substitut ou le juge d'instruction ?"
20,Quels officiers bénéficient du droit mentionné dans cet article ?,Dans quel cadre peuvent les officiers de police judiciaire exercer ce droit ?,Quelle limitation existe-t-il à l'exercice de ce droit par les officiers de police judiciaire ?,Quel type d'assistance peuvent solliciter les officiers de police judiciaire ?,Quels agents sont susceptibles d'apporter cette assistance aux officiers de police judiciaire ?,Peut-on exercer ce droit indépendamment des attributions spécifiques à chaque officier ?,Dans quel contexte précis peut un officier de police judiciaire solliciter l'aide des forces publiques ?,Quelle est la nature exacte du droit mentionné dans cet article ?,Est-ce que tous les agents de la force publique peuvent être requis par les officiers de police judiciaire ?,Quelles sont les limites de ce droit pour les officiers de police judiciaire ?
